S.no,Statement,Status
384,"I'm small. I praise myself. other people are discouraged, I'm restless, wondering how to make things better. I'm nothing.",Anxiety
385,Always haunted by anxiety,Anxiety
386,"Everything feels so short and for now starting to be afraid to lose, starting to feel anxious about various things, somehow if it really happened",Anxiety
387,Why am I getting anxious at the end of the day?,Anxiety
388,I don't know why I'm this restless not calm,Anxiety
389,Sunday calm but restless,Anxiety
390,"It's true, it's okay to say it's too late just because of that yes, that's all, but it really makes stress and anxiety uncontrollably ",Anxiety
391,"Have you ever felt like you're sad but you're not sad, you feel like you're nervous but you don't know what you're confused about, you just want to sleep but you can't",Anxiety
392,"Why is it that I'm CB dreaming this time, I'm really nervous, I don't know why?",Anxiety
393,"No need to worry, your story is written by the best screenwriters",Anxiety
394,"Nurture your own mind, don't be anxious and nervous, because by His side are calm souls.",Anxiety
395,Still very anxious,Anxiety
396,It's a different time to be so restless,Anxiety
397,"How do you not think about negative things and don't get anxious easily, how do you want to live calmly without thinking every minute that you shouldn't be thinking about it..",Anxiety
398,"the habit of chatting for a day, immediately restless",Anxiety
399,I'm dancing on the edge of restlessness. Craving a lost soul,Anxiety
400,pls I'm so restless I can't sleep ,Anxiety
401,I cry hearing it,Normal
402,"When you want to finish studying, you want to start a new life again",Normal
403,keep promoting even though no one buys,Normal
404,"Sometimes we are very good at advising or judging others, but not for ourselves.",Normal
405,make it easy,Normal
406,why is this so nauseous,Normal
407,"It's people's turn to really need help, just look at it, it's people's turn to take care of personal matters until they are found out.",Normal
408,People don't really think it's weird.,Normal
409,"I miss feeling the atmosphere while walking around, there are people selling lemang at the edge of the road """,Normal
410,Why is Jimin so hot and handsome?,Normal
411,"The charred food that heated the stove, dad who got angry with my mom",Normal
412,"""The key to unlocking pleasure is PATIENCE while the key to closing it is laziness.",Normal
413,"I don't know the original, I want to ask a friend again, but if you get lucky, you can't have a boyfriend",Normal
414,"I have sore eyes, where do I want to go for Eid",Normal
415,"You don't have to know, ayuri, you don't have to know.",Normal
416,"The difference is small, the big one is humanity",Normal
417,"haven't bought an envelope yet, oh my God",Normal
418,The youngest child is officially a millon seller very happy ,Normal
419,this seems to be a flop,Normal
420,Is jealousy normal?,Normal
421,My brother will definitely get it,Normal
422,Dreamies that CB I'm excited about,Normal
423,"Come on, what do you say to dreamies",Normal
424,"Especially for this month the Cheapest Netfix Account Promo is only 15K, ordering info can directly DM or check Pined for more information.",Normal
425,"oh God, I laugh so much when I remember that there was a small child in the mosque near my house, even though I was still singing right before the Maghrib call to prayer :(",Normal
426,God take care of him when I'm not beside him,Normal
427,"No matter how difficult your journey is, always remember God, so that your safety is always maintained.",Normal
428,start your morning with a marathon,Normal
429,why can't your eyes be so empty,Normal
430,"Finally, I dared to tell my mother that I wasn't with her anymore :""). Why is my mother crying so hard",Normal
431,"You will definitely get the best men, come and pray to God, and improve yourself..you can do it, goodluck.",Normal
432,iTunes and Apple Music can't only be used for the iPhone or not? how about it??,Normal
433,"I regret that yesterday when it rained it didn't stop, instead it broke through the rain at 11 pm",Normal
434,Immediately open the door of your heart to receive His guidance and open your heart to sincerely repent to Him.,Normal
435,"If a blood sugar-lowering drug is taken by a healthy person, that person's blood sugar will drop drastically and can cause death.",Normal
436,"God sends someone in your life for a reason, either to learn from him or to live life with him.",Normal
437,yeah this week's suffering is over. Byee,Normal
438,"Yes, what do you want to do, when you are asked for news, there is no response, you know, even if the update is blocked, who isn't worried.",Normal
439,I'm excited today,Normal
440,Terrible yall just woke up. The fate of the class is not over anymore,Normal
441,Want to have a lover,Normal
442,yukari is so nice,Normal
443,When did my brother think?,Normal
444,Ryuga really looks like Eza when he was little,Normal
445,"Hehehe, I heard that many people have arrived in Kelantan, right?",Normal
446,Lombok's bureaucracy is very fast. Usually long and slow but this wasn't,Normal
447,Are you a liberal activist?,Normal
448,It's really hard to find international journals.,Normal
449,"I'm happy to have a comeback, not because I bought the album. But there's a lot of content, it's really full",Normal
450,"Do you think that if Corona is over, then there will be a concert, is it okay to watch it?",Normal
451,wake up i keep on duty,Normal
452,I choose to love you in silence not because I'm a loser. Isn't the more lasting love the quiet love?,Normal
453,Yatuan wants to meet Ryan,Normal
454,Why are the eyes blurry?,Normal
455,"if it's really classic vinyl, I've never had one",Normal
456,"Promise in the evening to pay. Yes, I'm waiting. Just be careful",Normal
457,"Tired, every time you fall in love, you meet a virtual one :)",Normal
458,Heyy today is the last day of work,Normal
459,"hey, is there anything missing? ",Normal
460,"Dark, light, what dim?",Normal
461,"I thought it would be easier to gain weight at home, you know it's the same",Normal
462,"Awareness sometimes comes when regret turns into something very scary, but the departure caused by mistakes is not easy to return.",Normal
463,Singing pen. Is there anything you want to sing? Album is all heartbroken,Normal
464,"If you were given a choice when an idol comeback, would you choose the one with the forehead wearing a crop top? or exposed body (abs)?. Which one do you choose? Is there a reason?",Normal
465,good luck with my presentation,Normal
466,Dead is better.,Normal
467,What kind of banana do you want to come back at if you have to pick tomorrow?,Normal
468,"This week, I'm only working for 2 days, wfo is really borne",Normal
469,I'm so stupid,Normal
470,why never thought there was a small portable aircond,Normal
471,"Whoever sells with two sales in one transaction, then for him the lowest price or usury.",Normal
472,"Why is Shrita making me so bored that it's not that hard to make friends, Anjim?",Normal
473,what's the best thing about giving it to your mother for a bribe?,Normal
474,if the weak is still drooping,Normal
475,It's really annoying to say yes.,Normal
476,"I was surprised to see you, are you safe?",Normal
477,My love will still be there for you and stored neatly in this heart even though you are with him.,Normal
478,"thanks, it hasn't arrived yet, it's pinned :')",Normal
479,"The city center where I am, people are full of shops, banks, Pasaraya, do you remember this Covid-19 holiday?",Normal
480,"Hot plus cool = sore throat, want to poop",Normal
481,Morning guys. Have a productive Monday,Normal
482,"In your opinion, who is the most worth it starlight skin, guys?",Normal
483,There service was good,Normal
484,let's talk about this,Normal
485,it's complicated,Normal
486,"The closer I get to Eid, the more resigned I am to the exam, I don't know what to answer what's the deal",Normal
487,Helloooooooo 7 hours left,Normal
488,Several times the chat doesn't work,Normal
489,"The right gum is swollen when chewed it hurts a bit. If you chew the left one, the tooth has a hole",Normal
490,I miss you,Normal
491,this chick is so cute,Normal
492,Sorry for being late,Normal
493,"where is my water? It's crazy how fast I cook, I want fried rice from the eye egg, it's fun to play with these requests hahahah I'm not a wife yet",Normal
494,"If after waxing, what should I wear? or what good?",Normal
495,"Well, yes. It's Monday. My class is at nine. Come on, let's go back to sleep",Normal
496,"I hope you can continue to shop, my friend",Normal
497,my eyes are so swollen :(,Normal
498,"Wow, I want to have a fever",Normal
499,Don't know which one to start with,Normal
500,"""Friend"" I'm fine. I don't want mom and dad to see me like this",Normal
501,how many followers is the minimum for the vote?,Normal
502,accompany me like that dog :(,Normal
503,Time to sleep again. Good morning everyone,Normal
504,"*Me tryin to find a new glasses*..My glasses have been bent, tilted, just squished, guys",Normal
505,oh my god why don't I have a day off..,Normal
506,"For some reason, I used to dream of him a lot, almost every day I dream of him. now? it's gone. hmmm that's it.",Normal
507,"at times like this, I feel so independent",Normal
508,Have a blessed Monday,Normal
509,can take the physics quiz before the long holiday,Normal
510,want to know my life story? come sit next to me. I will make coffee without sugar :),Normal
511,What's the problem with him?,Normal
512,I think my cat is doing a secret mission. Don't come home,Normal
513,"Okay I promise myself if you want to buy the album, I'll help you with that",Normal
514,"Even though my history is Mulfand from 2010, but if the situation is 3 groups that you like to be in Top social artist... aren't you drunk?",Normal
515,"I feel more work after WFH. Understandably, the first time the office was allowed to do WFH :)",Normal
516,"Yes, I'm trying to be cool. I don't even open artist accounts. Then there's the family, besan, sending stories atta aurel. Chillman. I cry. Luckily I'm not fasting, can I swear?",Normal
517,"After bubbling a lot, are you safe?",Normal
518,"How can I do it, do you feel the same?",Normal
519,"Make a problem with PDD, please, during an online event, how come it's not there?",Normal
520,What day is Eid Al-Fitr if you may know?,Normal
521,great no limit,Normal
522,back thinking looking for money,Normal
523,"It's really delicious in the morning, sweet breakfast",Normal
524,My parents: Can netizens call the minister a hypocrite. I just like it,Normal
525,"Eid on the 2nd day, can I just take it out?",Normal
526,"This time, I didn't follow the team's streaming. :')",Normal
527,"For me, insurance is real. But if you get a fraudulent agent, that means sustenance is not next to you.",Normal
528,"The definition of waiting for a month's paycheck, spending only how many minutes.",Normal
529,"I miss you so much, I just dream about it, I'm looking for it",Normal
530,The 2nd vaccine has finished. Doesn't mean being able to get on a plane or train without an antigen test,Normal
531,Is it good to do social studies or art and culture assignments first?,Normal
532,I suspect that Wavy actually has a lot of job offers but label V refuses,Normal
533,Milk is only one part of the process of putting a child to sleep.,Normal
534,Seonho Minah has started filming ahhh august can you hurry or not,Normal
535,"I really want to look like other people, the ones with the twt notifications are accommodated a lot... But I'm a crazy person who doesn't wear it..",Normal
536,"Why is my life so much drama like this, I want to laugh but how come it's my life that I laugh at",Normal
537,"When it's quiet, I say thank you for accompanying me, I can't stay long, I have to go I said why in a hurry, it's still raining, he said my task was over, I was confused.",Normal
538,I want to feel the same as my boyfriend. .How does it feel?,Normal
539,"Come on, does anyone have a tiktok account?",Normal
540,I love you ,Normal
541,"Jessica starred in the musical ""Legally Blonde"" as Elle Woods, the female lead in the drama",Normal
542,"Hi, how are you mentally today?",Normal
543,I want to collect photos of my ex husband,Normal
544,There is a child as heavy as his father,Normal
545,"Tanyarl guys, please give a farewell gift idea for a male boss who wants to move offices",Normal
546,I feel so damn guilty,Normal
547,"it's ok, why is it tight for Eid",Normal
548,Have you ever been in the third person? How does it feel? Sick? Oh really!,Normal
549,pedri is love <3,Normal
550,Why did I move to Bogor when I was approached by Bekasi children?,Normal
551,"Apparently the aqua lightening skin contains silicone, so if I apply it again, it makes my face white, it doesn't absorb so it's like whitecast doesn't go away",Normal
552,"lm..come on, those who have big accounts offer to look for it again. drop specs and account conditions",Normal
553,"Willing to let himself get hurt because of waiting, for your success",Normal
554,Looking for an herbal acne remedy and get rid of acne fast?,Normal
555,"hi patient, have a good day, frandaaa <3",Normal
556,missed a lot of info already,Normal
557,"it's useless to install and move, but the account is not added",Normal
558,Is Junkyu really the same person during survival as the one who debuted? How come I don't believe it,Normal
559,stranger things is just amazing,Normal
560,"This doesn't exist, what do you want mutual?",Normal
561,You are amazing person ,Normal
562,"When you're not fasting, what do you want to eat? :(",Normal
563,"Oh god, lazy to go to the kitchen",Normal
564,You are my love,Normal
565,Later in the evening huh??,Normal
566,"There is no such thing as aid, there is the right of the people.",Normal
567,Are you on holiday?,Normal
568,"Asked about the task of the attached club, O Allah :)",Normal
569,how come my heart hurts lol,Normal
570,fwb. What's more sad about today's room?,Normal
571,open the boom,Normal
572,How to check people who don't follow us on Zee! How are you Peto?,Normal
573,"It's been very cold since last night, luckily the chat room is warm.",Normal
574,"Ask, guys, do you recommend games about cars that are fun, if you can go offline, thank you",Normal
575,"If you're not at home, is it time for me to make ice milk?",Normal
576,na! how much is the market for the mark cherry bomb?,Normal
577,"I just arrived in Bintulu country, I haven't met my family yet. there's been a poke threat. danger",Normal
578,Taking control to the medical center to fulfill the state's duties.,Normal
579,"Thank God, I can still see the files piled up on the table this morning",Normal
580,"Do you want to ask if you use spotify mod, does it count?",Normal
581,It's very quiet. Who wants to be my boyfriend?,Normal
582,Who cannot wait at the afternoon?,Normal
583,"I'm curious, Jisung cried, didn't he see the marks scored?",Normal
584,"for once, this girl of yours said spicy words, said bad things about the person in front of her directly hahaha I'm so sick of holding back my emotions",Normal
585,"Not only that, during the holidays and leave, the work from home attendance must be done up to three times.",Normal
586,Is there anyone who dreams of meeting you and then giving you a balloon,Normal
587,"even though today I'm fasting, I'm sweeping the mop, I'm ready",Normal
588,"It's not your outfit that makes you look expensive, but yourself, your personality, and your attitude!",Normal
589,My cat zoo looks like it's about to be born last night. but how come the baby hasn't come out yet? I don't want to eat either :(,Normal
590,Where do you buy fireworks? Want to play fireworks at night takbiran,Normal
591,"My children were given a no limit theme, why are there other bg covers there are a lot of good songs if you don't make new songs",Normal
592,I love you mom,Normal
593,"Guys, can you give a recommendation for a blurry ig filter or not, it's the same as an aesthetic one. Thank you",Normal
594,"guys, what do you usually drink or exercise when you are late? ",Normal
595,how much is it?,Normal
596,Do you think manager will update again or not?,Normal
597,"If you lose weight, does it affect your menstrual cycle or not? I'm more than a week late and it's even more stressful",Normal
598,When will the one with the account wake up,Normal
599,"sorry, I should be silent. But I reply when there is a trigger.",Normal
600,What is that one text that makes your mind blowing?,Normal
601,"Excited....Last day of work coincides with iftar event..Alhamdulillah we will get money again, then holiday..yey",Normal
602,What kind of anime is very emotional !!,Normal
603,the co album itself is very expensive the shipping is gone.,Normal
604,remember me and bananas imagining levi being a policeman at the homecoming guard post and hanging on reckless... in the end they got into a fight...,Normal
605,can anyone fix the account or not? huhuhu please,Normal
606,let's prepare mentally,Normal
607,Where are my glasses?,Normal
608,Good morning army!! Want to remind about voting later,Normal
609,there's also a time starting at vote when to minimize the same questions in the base,Normal
610,I can't tell the difference between the truth and the lie,Normal
611,What's sad about going to the room today? Bills on me,Normal
612,"Share the pic, sorry for messing up the project.",Normal
613,Horror movie characters are stupid.,Normal
614,"Not in the mood, why not sleep for now",Normal
615,really good morning done reading a book,Normal
616,I'm not in a good mood that's why I'm too lazy to talk,Normal
617,"Yeayy, I've found a cafe to celebrate my birthday later.",Normal
618,"Fatimah is already wearing earrings, she's still a boy",Normal
619,"There's no schedule today, right?",Normal
620,"If you can't be good...Don't be bad...There, good or bad, right..Please don't change it..Satan's job.",Normal
621,"Be patient. :') remember, the installment hasn't been paid off yet.",Normal
622,"so proud of you guys, it's not in vain, I waited 5 years to get my 1st full album. You all deserve this. Thanks",Normal
623,Monday's turn feels like Sunday,Normal
624,telepathy?? Do you believe in it?,Normal
625,Yopo how to get rid of this sleep?,Normal
626,Looks like I'm sorry for the cause....,Normal
627,"""I'm proud to be married to you."" I said when I was expecting Koco",Normal
628,why are my friends bored with life,Normal
629,"I'm in pain from noon to night. I messaged at the new place, after that, I went to buy stuff and I got dizzy and dizzy for more than 2 hours.",Normal
630,"It's even more difficult to make people go out on a date and keep flirting, gosh, the author is single",Normal
631,At the age of 25 it is very important :. 1. Don't listen to what you don't need to hear. 2. Don't see what you don't need to see. 3. Don't talk if it's not important. 4. Don't find out what makes you hurt,Normal
632,"It's a lot of fun, my tweet just now is so good",Normal
633,"Life is full of rules, but keep following God's rules.",Normal
634,"My love for you, no matter how far or near, if Allah has determined that you are mine and you love me to death, I will love you forever",Normal
635,"If you accidentally follow someone, then press the sponsor link when you're looking at stories on Instagram",Normal
636,"Can't compete for quality, so yeah, play and report things that aren't important.",Normal
637,Don't be shy about losingstreaks when playing solo. Because your mentality is stronger than a party player.,Normal
638,"Papa mama asked me to continue school to the S2 level. Uh, they don't know where I want to go for S1 :). Things that are not supported by their parents are still there, you know :""",Normal
639,"Btw, is it really not available or what, I'm looking for the inception on spotify, how come it's not thereÖ",Normal
640,"I was praying that day, compared to the doc, the bakaq was poisoned. I felt like it was overflowing. How can it be fathom there!",Normal
641,Because it's as if nothing happened.... As if everything is fine.... Even though it's covered as perfectly as possible.. it can definitely be felt for those who have a conscience..,Normal
642,Surely the expedition will be full again... hopefully it can arrive on time,Normal
643,I want to make a baby. but I'm afraid I won't take care of it,Normal
644,"Don't explain yourself to anyone, because those who like you don't need that. And those who hate you don't believe it",Normal
645,"What's trending is wrong or not, because it's the letter i, not the number 1",Normal
646,Confused between defecating or sleeping,Normal
647,"It's really quiet, where is everybody?",Normal
648,"Let's go crazy together, let's have a good time!",Normal
649,Wake up dehydrated and drink immediately,Normal
650,Where's the tiktok context?,Normal
651,"those who don't use fb, their ass is tight",Normal
652,So far taxi drivers >>> mouse,Normal
653,First time art objects but never mind,Normal
654,"for the sake of my father, I don't take a day off",Normal
655,Want to be free?? ..Try to disguise yourself as a foreigner,Normal
656,I want to be fast but there are obstacles.,Normal
657,"I didn't make cakes at all, I just bought some snacks that my husband and I liked, the rest was sent by my mom. Just enjoy life.",Normal
658,Lost track.. maybe he's tired,Normal
659,Why are you opening the cupboard... it's not very polite,Normal
660,I want to buy goods without having to look at the price tag first!,Normal
661,I just feel like getting angry,Normal
662,only holiday on red date is real,Normal
663,The pain of body and soul I look back at the story of qabil kushry,Normal
664,"Allah has written in His notebook, Verily My mercy overcomes My wrath.",Normal
665,"Because I was asked about the block leave plan, I was really looking at the date and I just noticed that throughout June - October there is a 5-day red date every Tuesday.",Normal
666,"I'm waiting for Mark's aura on tiktok, the theme is divorce. The last time I read it was up to part 6 and damn it, I forgot to follow the account.",Normal
667,"I just realized that yesterday I haven't eaten at all all day! Just drinking water with Milo, I'm so busy taking care of my merchandise",Normal
668,"Well, like this, I've always been used to holding back hunger, so it's like fasting that wasn't intentional ",Normal
669,Almost forgot tomorrow there will be an ethnic midterm,Normal
670,It's a shame that people trade in the bazaar.,Normal
671,Ask for a life. There is a Japanese language examination. Can't forget.,Normal
672,"Liam, when he's in trouble, his job is to tease Rav... But when he's like this, he listens to a spiritual song.",Normal
673,"It's okay to be selfish once, right?",Normal
674,Have you safely reached home?,Normal
675,I can't want to tweet that I'm very respectable because there are people stalking,Normal
676,"What is the ruling on selling fake goods, lift 10, sell 90?",Normal
677,I want to go down as much as possible :(,Normal
678,"Duh, I hope it doesn't get fixed",Normal
679,Hiks want to watch but Whera doesn't want to be friends with me,Normal
680,"He was directed wrongly, left as he pleased. You bastard!",Normal
681,Oops I'm so dizzy I want this day to end,Normal
682,"drop the used accounts, that's healthy. verify all..",Normal
683,Conspiracy theories are of great interest to those who have trouble understanding a complicated world and don't have the patience for non-dramatic explanations.,Normal
684,"already in the shower, booommm",Normal
685,Where's my mood?,Normal
686,Oh Allah! Thanks you a lot,Normal
687,"So? No...You said you wanted peace, didn't you? Don't create hope. Don't try, you know in the end you won't be able to.",Normal
688,It took up to 2 hours to get dressed,Normal
689,It's also sad to see videos of out-of-town bus drivers who should be busy but now they don't have work :( until when will it continue like this,Normal
690,"My dick sucks, I want to be with you",Normal
691,"It's hard to breathe... when I walk to the elevator, if I want to go up, I can calm down..",Normal
692,They do not care from were youre started. They saw of how you end it.,Normal
693,"Even though I'm still young, but one by one the heroes in my wallet have started to disappear",Normal
694,"Have you ever pretended to be happy, because you really want to be happy but you can't:)",Normal
695,"And when we can accept everything with sincerity, then we will get a quiet life.",Normal
696,High School Musical is really cool,Normal
697,"Until now, I haven't read the dictation, so I'm confused",Normal
698,"If you have to work with an architect like this, I guess. There's just something to get tired of.",Normal
699,"Every time there is a college assignment.. Me : Do it right now anyway. Also Me : Ah, it's still a long time, I'll do it later..",Normal
700,"It's weird that you like to bring augmented reality characters to real life, I didn't know before",Normal
701,"Tonight, guidance again, God is happy",Normal
702,Usually use a clock. Forget it doesn't feel like something is missing,Normal
703,My lips are bleeding from the mouth,Normal
704,"Early in the morning, after the duck ride, I want to share this CPO chart, it looks interesting",Normal
705,His body is all sore.. I hope I don't have my period until Eid,Normal
706,"Have you ever thought about someone because you missed someone, and didn't realize you were crying. Then the next day that person chatted suddenly, how did you react?",Normal
707,"If you sell the album, you will lose 20% but the condition is still sealed, do you think it will sell? I want to order another album set that has a box, because",Normal
708,really canceled this famous author,Normal
709,"Which one can't be confident, but it's okay to share, we hope so that we can be hurt again",Normal
710,"So rich people especially gut luking is delicious, making mistakes is quickly forgiven especially using a classification video, let's clarify",Normal
711,It's not in vain that I cosplay as a referee,Normal
712,It's different.,Normal
713,greetings from me...,Normal
714,"It's already the second dream, how come it seems so real with the name princess??",Normal
715,Am I the only one who doesn't like using phasmina?,Normal
716,Don't look for a boyfriend from twitter.,Normal
717,China is really bothering people... it's already mutated and the viruses are spreading by themselves...,Normal
718,"hi, can you help me tag my account or not?",Normal
719,"Don't be jealous of other people's success, know that they are there because of determination and hard work.",Normal
720,"Guys, I want to transfer. I'll follow it later using the other acc, but the acc is still limited to 12 hours",Normal
721,"What distinguishes humans from animals is reason, science and morality",Normal
722,Looks like I'll be using Kai's version of Youngblood's song for a repeat of Bing's singing practice,Normal
723,Animals have reason or not.....people don't have sense. They don't have morals,Normal
724,I'm really tired of talking to people who insist but it's wrong,Normal
725,We need to love each other,Normal
726,"The dream is weird. but glad too see you mii. In my dream, I still think you're just smiling, haha, be patient, I have a friend, my cake",Normal
727,"His name has a new life, I really don't want to ride with my parents or in-laws... let me be independent hehehe",Normal
728,You are only my lover friend,Normal
729,"Just keep on blaming me, as if in this relationship you're the only one struggling alone!",Normal
730,"Delivery is again overloaded, where the package has not arrived at the drop point.",Normal
731,have you had breakfast yet?,Normal
732,Morning. What scorpion partner? Yup that's right he is a scorpion queen,Normal
733,"what makes you tired? No need to answer right away, let's be mutual",Normal
734,"Seeing the sunny weather this morning after it rained for 4 days, mothers were excited to take out the laundry and take action, after that they smiled with relief looking at the clothesline in the hot sun",Normal
735,"Alhamdulillah, this year I feel like Eid with my family again",Normal
736,"I was told by my aunt to persuade her child to enter the department she wanted.... Well, auntie, it didn't work, how about me :(",Normal
737,"Never met but dream of holding hands, you're stupid",Normal
738,"I didn't wake up, I was a bit surprised to see the clock I thought it was 8 o'clock, apparently it's still 7 o'clock and ended up dizzy and unsteady. I do have low blood pressure",Normal
739,"If he doesn't want it, then you don't have to force it",Normal
740,Kde dil de Warke fol ve utte. Mera naan ta nhi likhya.Kde dil de Warke fol √¢ √¢,Normal
741,"if there was a man who said to me like this: ""I'm ready to wait for you until your education is finished"".. sksk how happy my heart is",Normal
742,Scrambles egg is good. Delicious,Normal
743,We love messi & maradona,Normal
744,"At the end, please give a room at the tailor to sew your own clothes...",Normal
745,This year Argentina is hot favorite,Normal
746,"If you want to buy gasoline, you have money ready in your jacket pocket, when you arrive at the gas station, usually the money is not there, the big ones run away, the small ones don't do good :(",Normal
747,"I was crying last night before going to bed, random feeling, I don't know why 24 years of life doesn't seem like there's anything to make my parents happy",Normal
748,One really becomes strong.. when one wants to protect someone precious.,Normal
749,when will i not sleep?,Normal
750,my mood playing has gone down again,Normal
751,morning. Has anyone woken up yet?,Normal
752,Yeayy I have no limit,Normal
753,As if in pain but not aware,Normal
754,Ordinary people thought of targets as exhausting burdens. Extraordinary people turn burdens into exciting targets!,Normal
755,"I'm ugly like this, I've never been in a relationship",Normal
756,"Seriously crazy.. looking at SG, old friends or new friends are jealous and insecure..",Normal
757,"imagine you want to commit suicide, but you don't want suicide",Normal
758,"A lot of work but planned, it's okay. .A lot of work but no design, that's not good.",Normal
759,Overwhelmed!!! I want to burst my head,Normal
760,"I want to rest but I'm lazy, hahahaha, it's not that bad",Normal
761,I wanna make you food,Normal
762,I don't like fickle men,Normal
763,What the heck is this!,Normal
764,I'm so happy my son is back,Normal
765,25 years old is still alive! amen,Normal
766,Tired of fighting because of low menstruation,Normal
767,"Oh my God, can I ask for your autograph? Hope it's not too much to ask.",Normal
768,"In the afternoon, the intention to skip guidance is getting bigger",Normal
769,beautiful beach in kuta tonight,Normal
770,good morning my best friendÖ ah it's ticklish already....,Normal
771,"For balance, I will close this afternoon / evening or not tomorrow",Normal
772,"Hurry up today, hurry up the day ends",Normal
773,"I'm really sorry, those who feel are below my level",Normal
774,"Anxiety, stress, selfharm affect your face or not? I'm afraid that skincare is already expensive, why is my face suddenly?",Normal
775,"A person's mouth is the storehouse of their treasury and their lips are the key, and their teeth are their claws.",Normal
776,"When someone opens the door of his convenience store, it will be clear to you the good and the bad.",Normal
777,Either it's not cool or I don't meet physical standards :),Normal
778,"just after school, I'm so tired",Normal
779,The team is playing really well this time but still has a long way to go,Normal
780,I really can't control my emotions,Normal
781,Just say you want to be thick.. It's amused to read.,Normal
782,"If you invite someone to interact and they respond in an unpleasant way, don't immediately swear on something bad, bro. ",Normal
783,"I'm an intern, have the privilege as I graduated early.",Normal
784,"This beauty of yours is given, because money can be found but a partner like me who really likes you is very difficult to get.",Normal
785,"If there is a young man with an uneasy expression on his face and feelings, it is certain that he might be a student",Normal
786,"Oh my goodness, where are you afraid that the virus is getting fiercer.",Normal
787,How come lalamove is cheap now????,Normal
788,"Whether it's the jealousy that has been feeling sad for a long time. Or the longing that has been shy for a long time, then?",Normal
789,"I want to make a casket, my holiday is very productive",Normal
790,It's time and cost-effective (I don't have any problems with costs). But I'm confused whether to take it or not,Normal
791,"It could be that he's in a bad mood, and you happen to be the one who invites him to interact. If he intends to reply sufficiently, he will reply because you ask a lot of questions. :)",Normal
792,The ending is worth it. are you satisfied or not? Now back to business,Normal
793,"Guys, try to check the template first please.",Normal
794,It was very fun hearing the lecture about delivery,Normal
795,"I often get ghosted by people now, so I follow people ghosting haha",Normal
796,"This time, just lie down at the camping site until it opens",Normal
797,"Other people are busy for narrowing, UIA is busy for class.",Normal
798,But I am confused as I'm ashamed of myself,Normal
799,Hope all is well,Normal
800,I want to buy Jisung's version of the jewel case but my wallet is screaming and hasn't been filled yet,Normal
801,"I swear I'm afraid of baper with Twitter kids, I'm a little doubtful about that",Normal
802,Women with all their fragility and complexity.,Normal
803,"good morning bestie, excited for today",Normal
804,"I was vaccinated, how did it taste?",Normal
805,Why am I always good at humiliating myself,Normal
806,Remember when I used to admire the serene beauty of the mountains,Normal
807,we have to connect to get connected power,Normal
808,"Just because you see I'm strong enough to handle pain, doesn't mean I deserve to be hurt.",Normal
809,How do you pin that person's tweet?,Normal
810,"Actually, it feels really weird in the stomach like someone is kicking. ",Normal
811,"A pleasant miracle happened to me today, amen... Because nothing is impossible for you Lord",Normal
812,"Change battery, this one isn't working anymore",Normal
813,All this time I thought mew kissed his shoulder,Normal
814,sorry that my family who have heard me falling down feelin up you want it,Normal
815,Now I just live with what's in front of my eyes.... Don't complicate the point,Normal
816,Sleepy and not in the mood to work,Normal
817,"Hi, I'm opening a special club. price is below for friends. anyone want to join?",Normal
818,"""The fetus is only 2 months old and has kicked."" . Between you crying and you laughing",Normal
819,Has anyone rented a core i7 laptop with 16gb ram solo area for personal use for 2 weeks? ,Normal
820,Hope is a good thing may be the best of things and no good thing ever dies,Normal
821,I get turn on with guys who are good at cooking. can you be my husband? Ha ha,Normal
822,Yeah babe I will coming and I am excited,Normal
823,"I'm so tired, aren't you?",Normal
824,Do you know what stores are there students who are willing to rent casettes?,Normal
825,Who here has 100% exchanged to Telegram instead of using WhatsApp. Anyone?,Normal
826,Purple has not been used since the green-green merger.,Normal
827,let's clean up first so we can relax later in the afternoon,Normal
828,those who have memes are tight for dong,Normal
829,Selfie competition keeps you sleepy,Normal
830,I don't understand this world.. the old t-shirts are used as crop tops,Normal
831,Oh ho I got scolarship,Normal
832,"I got GPA 5.00, is it enough?",Normal
833,"Excuse me, can the green account please tag me? thanks in advance",Normal
834,"Geology is bad, bro?",Normal
835,"I'm excited to buy glass from outside the city.. There's a guarantee, but it's still slow when you have to switch goods. Easy safe",Normal
836,"I thought my life would be empty. I just remembered that : am I a werewolf? Nah, dreaming. I'm very satisfied",Normal
837,This chubby girl when she's skinny she's more beautiful than everyone,Normal
838,It's so cold I swear my hands are getting numb,Normal
839,I ask Chelsea for La Arsenel to win on Thursday so that fans will feel that there is still little hope for qualifying for Europe until the last game of the season,Normal
840,The most absurd dream for this time but I can't remember exactly what!,Normal
841,"want to win at the stall, bro",Normal
842,I saw it and I wanted to eat myself,Normal
843,Waking up feeling stuck is a bit scary huh,Normal
844,I'm afraid that the sweet potato is not good to eat,Normal
845,Does anyone have a photo of Takai and Nina that is in the same frame?,Normal
846,Ya Allah let our brothers and sisters enjoy the end of Ramadan solemnly and let them welcome Eid Al-Fitr happily.,Normal
847,"wake up in the morning, brush your teeth, wash your face, don't take a shower...",Normal
848,"if after this you don't fix the real unit, you're really stupid",Normal
849,"O Allah, life's toughest trial is about to begin. Give me strength",Normal
850,"the point is you can't hold on to problems so you don't feel the stupidest in class, even though a lot of other people also feel the same thing, they just know how to cover it up.",Normal
851,"I'm hungry, I'll eat first, bestie",Normal
